Vendite	Scontrini	Vendite.1	Scontrini.1	Vendite.2	Scontrini.2	Vendite.3	Scontrini.3	Vendite.4	Scontrini.4	Vendite.5	Scontrini.5	Giorno	day	month	year	newdate
7554.37	869.0	7734.49	766.0			2628.80	539.0	6058.30	791.0				30	7	2017	2017-07-30
4928.60	666.0	5651.52	654.0			2722.02	653.0	4873.33	728.0				31	7	2017	2017-07-31
4750.47	642.0	6005.65	621.0			2691.56	634.0	4663.23	664.0				1	8	2017	2017-08-01
4889.30	649.0	5716.24	650.0			2537.88	642.0	5044.40	762.0				2	8	2017	2017-08-02
4820.66	681.0	6390.76	731.0			2328.12	637.0	5686.99	833.0				3	8	2017	2017-08-03
5063.03	663.0	6580.92	752.0			2890.51	702.0	5933.22	863.0				4	8	2017	2017-08-04
8027.97	1025.0	8275.06	820.0			3016.16	725.0	6870.23	894.0				5	8	2017	2017-08-05
7417.58	936.0	7895.90	781.0			2412.86	541.0	5579.59	717.0				6	8	2017	2017-08-06
4736.04	650.0	5685.88	616.0			2164.41	599.0	4683.21	710.0				7	8	2017	2017-08-07
5108.44	650.0	5617.10	633.0			2497.64	600.0	5012.69	694.0				8	8	2017	2017-08-08
5452.95	717.0	5510.79	599.0			2332.21	591.0	5057.21	733.0				9	8	2017	2017-08-09
6466.89	823.0	6588.14	680.0			2420.07	562.0	5111.12	711.0				10	8	2017	2017-08-10
6635.19	824.0	8021.45	800.0			3146.21	635.0	6132.00	842.0				11	8	2017	2017-08-11
8387.69	1069.0	7985.99	854.0			3359.84	736.0	6601.32	877.0				12	8	2017	2017-08-12
6279.32	781.0	6115.50	611.0			2565.74	587.0	4694.23	620.0				13	8	2017	2017-08-13
5700.29	698.0	6227.55	657.0			2951.78	708.0	5148.30	672.0				14	8	2017	2017-08-14
4466.48	513.0	5327.33	528.0					4675.32	627.0				15	8	2017	2017-08-15
4926.44	617.0	5947.55	629.0			3289.40	720.0	5022.78	711.0				16	8	2017	2017-08-16
4820.53	622.0	5723.11	609.0			2543.52	629.0	4828.88	703.0				17	8	2017	2017-08-17
5268.82	702.0	7526.32	830.0			2888.66	695.0	5315.96	761.0				18	8	2017	2017-08-18
7581.11	944.0	8429.01	848.0			3284.05	701.0	6053.55	828.0				19	8	2017	2017-08-19
6208.89	693.0	6956.65	730.0			2658.15	577.0	5788.83	722.0				20	8	2017	2017-08-20
4853.93	626.0	6862.26	719.0			2730.55	634.0	5252.26	718.0				21	8	2017	2017-08-21
4941.00	616.0	6054.41	680.0			2628.90	594.0	4858.24	725.0				22	8	2017	2017-08-22
4971.00	670.0	6208.56	703.0			2480.52	582.0	5462.81	774.0				23	8	2017	2017-08-23
5476.38	694.0	6560.10	686.0			2605.84	615.0	4952.44	702.0				24	8	2017	2017-08-24
5729.78	711.0	7632.71	854.0			2670.06	618.0	5980.41	841.0				25	8	2017	2017-08-25
8378.65	1040.0	9643.69	990.0			3323.41	718.0	6822.40	914.0				26	8	2017	2017-08-26
6980.54	781.0	8138.27	787.0			2640.37	527.0	6338.83	818.0				27	8	2017	2017-08-27
5637.40	684.0	6243.53	698.0			2820.24	634.0	4986.96	727.0				28	8	2017	2017-08-28
5418.62	642.0	6332.41	696.0			2505.72	588.0	5053.10	761.0				29	8	2017	2017-08-29
5876.10	705.0	6856.35	748.0			2591.08	594.0	5312.37	731.0				30	8	2017	2017-08-30
6616.55	808.0	7522.86	807.0			2597.67	576.0	6703.32	886.0				31	8	2017	2017-08-31
7318.58	864.0	9584.82	1006.0			3378.38	667.0	7357.08	1033.0				1	9	2017	2017-09-01
11561.96	1317.0	11800.61	1181.0			3280.83	697.0	9196.30	1108.0				2	9	2017	2017-09-02
8863.51	989.0	9178.03	873.0			2664.62	542.0	6776.95	848.0				3	9	2017	2017-09-03
5900.67	719.0	7767.89	853.0			3268.07	743.0	5556.37	824.0				4	9	2017	2017-09-04
6523.65	755.0	7314.01	811.0			3031.91	633.0	5308.16	736.0				5	9	2017	2017-09-05
6084.35	691.0	7152.24	733.0			2954.15	647.0	5759.87	808.0				6	9	2017	2017-09-06
6431.68	787.0	7385.57	778.0			2766.95	607.0	5846.56	753.0				7	9	2017	2017-09-07
7237.25	795.0	8750.26	902.0			3054.88	658.0	7179.72	940.0				8	9	2017	2017-09-08
10660.81	1214.0	12156.59	1172.0			3561.35	725.0	8263.75	1007.0				9	9	2017	2017-09-09
9485.95	1038.0	10693.86	972.0			2313.40	468.0	7385.57	850.0				10	9	2017	2017-09-10
6078.36	700.0	7965.18	871.0			3452.37	703.0	5369.66	759.0				11	9	2017	2017-09-11
5133.74	644.0	8220.70	827.0			3171.35	701.0	5532.53	735.0				12	9	2017	2017-09-12
5667.00	669.0	7918.24	837.0			3755.43	758.0	5383.37	720.0				13	9	2017	2017-09-13
5451.49	629.0	8095.52	820.0			3463.67	694.0	5256.02	720.0				14	9	2017	2017-09-14
7648.94	865.0	11573.33	1171.0			4448.08	825.0	7287.47	893.0				15	9	2017	2017-09-15
12893.22	1480.0	12633.91	1276.0			3763.11	794.0	9088.62	1052.0				16	9	2017	2017-09-16
9672.09	1048.0	10233.61	942.0			2853.77	606.0	6937.38	856.0				17	9	2017	2017-09-17
4548.71	561.0	6705.01	705.0			3597.20	748.0	4307.58	629.0				18	9	2017	2017-09-18
4889.35	599.0	6496.39	730.0			3035.82	720.0	4738.09	689.0				19	9	2017	2017-09-19
5129.06	646.0	6914.33	742.0			3338.44	779.0	5108.04	714.0				20	9	2017	2017-09-20
5158.38	669.0	7216.19	789.0			3035.65	673.0	5374.78	707.0	4.54	9.0		21	9	2017	2017-09-21
6373.88	718.0	9944.83	1056.0			3710.43	798.0	7925.88	919.0	4430.40	572.0		22	9	2017	2017-09-22
10580.86	1272.0	12386.35	1252.0			4035.40	851.0	8602.35	1036.0	8928.91	1098.0		23	9	2017	2017-09-23
